Player Name,Passion Hits (Actual) count of matches in documents related to players displaying passion.,"Passion Hits (Normalised) normalied hits taking into account the total amount of content on each player, allows players to be compared.",Passion Hits Positive ratio of hits relating to passion that used positive emotion.,Passion Hits Negative ratio of hits relating to passion that used negative emotion.,Crowd Hits (Actual) count of matchesi in documents mentioning player and crowd interaction.,"Crowd Hits (Normalised) normalied hits taking into account the total amount of content on each player, allows players to be compared.",Crowd Supportive ratio of crowd-player interaction that used supportive emotion.,Crowd Unsupportive ratio of crowd-player interaction that used unsupportive emotion.,Crowd Sad ratio of crowd-player interaction that used sad emotion.,Love Hits (Actual) count of matches in documents related to players describing love or fondness of Wimbledon.,"Love Hits (Normalised) normalied hits taking into account the total amount of content on each player, allows players to be compared.","Personality Passion combination of emotional range and agreeableness, higher score means player has a more passionate personality.","Personality Striving  a subfacet of conscientuousness, a high value indicates a player that sets high goals and works hard to achieve them.","Personality Immoderation a subfacet of emotional range, a low value indicates a player who has control over their desires.","Personality Anger a subfacet of emotional range, a high value indicates someone with a fiery temper.","Personality Challenge Authority a subfacet of openess,  a player with a high value prefers to authority and traditional values to help bring about change.","Passion Hits (Renormalied) passion hits normalised relative to the player with the most hits, gives a score between 0 and 1.","Crowd Hits (Renormalised) crowd hits normalised relative to the player with the most hits, gives a score between 0 and 1.","Love Hits (Renormalised) love hits normalised relative to the player with the most hits, gives a score between 0 and 1.","Personality Passion (Renormalised) personality passion score normalised to the player with the largest value, gives a score between 0 and 1.",Overall Score
jana novotna,71,0.078888889,0.352112676,0.647887324,59,0.065555556,0.593220339,0,0.406779661,0,0,0.277188123,0.522310775,0.626440281,0.218726382,0.927488542,1,0.630426665,0,0.712042521,0.668493837
steffi graf,96,0.06,0.375,0.625,117,0.073125,0.47008547,0.025641026,0.504273504,3,0.001875,0.203508257,0.281175765,0.364230011,0.293191272,0.947181198,0.760563379,0.70321957,0.562500056,0.522773237,0.661923924
robert bryan,16,0.053333333,1,0,10,0.033333333,0.8,0,0.2,1,0.003333333,0.212629086,0.805566206,0.461037335,0.034059451,0.360130184,0.676056333,0.320555926,1,0.546202878,0.643774294
andy murray,882,0.061678322,0.376417234,0.623582766,1487,0.103986014,0.440484196,0.043712172,0.515803631,5,0.00034965,0.154305164,0.293749591,0.813155615,0.075461815,0.919682451,0.781837883,1,0.10489501,0.396380035,0.612990163
venus williams,358,0.055076923,0.522346369,0.477653631,377,0.058,0.480106101,0.045092838,0.474801061,9,0.001384615,0.257322635,0.432788473,0.72841474,0.005997164,0.94608441,0.698158178,0.557767317,0.415384542,0.661011936,0.60609603
michael bryan,19,0.038,0.894736842,0.105263158,30,0.06,0.866666667,0,0.133333333,1,0.002,0.342210062,0.281062003,0.7871654,0.207970985,0.559041439,0.48169014,0.577000672,0.60000006,0.87907127,0.603890457
novak djokovic,480,0.066666667,0.466666667,0.533333333,559,0.077638889,0.500894454,0.02862254,0.470483005,7,0.000972222,0.108120603,0.457250374,0.676917415,0.086870959,0.926381263,0.845070426,0.746628186,0.291666629,0.277740857,0.601235305
martina navratilova,70,0.046666667,0.6,0.4,143,0.095333333,0.566433566,0,0.433566434,0,0,0.286551249,0.433492632,0.608891893,0.049554747,0.905160898,0.591549299,0.916789954,0,0.736094576,0.567196626
goran ivanisevic,91,0.056875,0.472527473,0.527472527,155,0.096875,0.458064516,0.051612903,0.490322581,0,0,0.17774453,0.428112115,0.502745421,0.075480238,0.707676784,0.720950703,0.931615669,0,0.45659122,0.566021659
andre agassi,116,0.048333333,0.543103448,0.456896552,208,0.086666667,0.427884615,0.038461538,0.533653846,2,0.000833333,0.179336939,0.45473219,0.718004875,0.080306978,0.839964195,0.612676051,0.833445419,0.249999925,0.46068181,0.553895851
serena williams,512,0.060235294,0.474609375,0.525390625,467,0.054941176,0.466809422,0.057815846,0.475374732,9,0.001058824,0.149056439,0.277964522,0.813165443,0.013523693,0.961307702,0.763545979,0.528351592,0.317647232,0.382897079,0.551197572
