name,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
andre agassi,,,,1,,,2,,2,1,1,1,,,1,,,,,,
andy murray,1,,1,4,6,3,10,6,5,4,3,5,3,4,1,2,4,,,,
lindsay davenport,,,,1,3,2,4,2,2,1,,1,1,1,1,,,,,,
maria sharapova,,2,1,2,7,6,4,8,7,3,4,2,4,1,2,4,,1,,,
novak djokovic,,3,3,,8,5,6,10,6,3,5,2,4,,1,5,2,,,,
petra kvitova,,1,1,2,5,5,4,2,1,2,2,4,2,4,,1,,,,,
rafael nadal,,1,1,4,4,3,5,3,6,5,4,2,,4,3,,1,,,,
roger federer,,5,4,3,9,8,9,18,8,5,4,2,4,5,1,3,,,,,
serena williams,1,,5,5,8,11,9,8,11,3,6,3,3,2,1,3,2,,,,1
venus williams,1,1,,4,9,13,1,11,3,6,3,4,5,2,1,2,3,,,,1
