name,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
andre agassi,,,,56.2,,,52.875,,54.925,57.25,44.5,52.35,,,40.5,,,,,,
andy murray,52.6,,63.45,55.925,55.85,44.63333333,58.9,56.34166667,55.93,52.7125,55.16666667,58.79,48.9,55.7625,56.75,54.075,53.975,,,,
lindsay davenport,,,,70.35,60.46666667,55.45,57,54.425,59.775,53.7,,56.7,54.45,69,62.6,,,,,,
maria sharapova,,57.625,55.6,63.625,52.19285714,55.24166667,47.9125,58.375,51.39285714,55.98333333,63.275,58.625,54.6,70.7,53.225,60.175,,60.35,,,
novak djokovic,,53.1,57.5,,55.33125,53.42,57.78333333,54.32,55.8,57.66666667,55.4,54.925,55.4,,49.65,53.18,54.575,,,,
petra kvitova,,67.35,47.65,53.6,50.67,62.08,57.2875,55.25,54.6,48.9,62.025,52.275,51.2,66.5625,,69.95,,,,,
rafael nadal,,62.4,57.8,50.7,58.3625,58.28333333,56.12,52.78333333,53.98333333,53.44,55.8,48.925,,56.725,57.9,,47.5,,,,
roger federer,,60.67,63.45,52.65,58.26666667,54.6625,59.98888889,54.96944444,60.025,57.54,52.6125,56.525,56.5,59.98,65.3,55.95,,,,,
serena williams,59.55,,55.61,54.88,59.24375,59.45454545,56.46666667,59.00625,61.49545455,60.73333333,58.20833333,57.06666667,65.26666667,61.4,52.3,54.65,58.975,,,,59.3
venus williams,52.8,50.1,,63.3625,57.13333333,56.35,58,53.25454545,60.5,56.43333333,58.5,55.375,60.54,60.525,50.35,53.375,61.21666667,,,,49.5
