Name,14C,15C,16C,17C,18C,19C,20C,21C,22C,23C,24C,25C,26C,27C,28C,29C,30C,31C,32C,33C,34C
andre agassi,,,,14.4,,,12.9,,15.75,14.8,27.2,36.4,,,15.2,,,,,,
andy murray,9.6,,18.6,13.45,21.3,20.23333333,18.15,20.7,17.74,16.2,19.46666667,15.64,16.43333333,20.15,13.8,14.9,17.825,,,,
lindsay davenport,,,,44,40.2,13.65,28.125,26,26.1,23.6,,27.9,27.8,25,30.3,,,,,,
maria sharapova,,24.55,28.6,26.15,21.51428571,23.71666667,22.025,23.8875,23.2,23.83333333,23.9,34.05,24.65,33.3,15.35,29.15,,27.5,,,
novak djokovic,,19.43333333,14.9,,20.875,16.74,17.1,19.67,15.91666667,23.5,20.24,26.4,13.95,,21.6,20.68,17.05,,,,
petra kvitova,,20,26.8,23.4,23.58,21.24,30.9,32.1,15.5,36.05,38.1,17.2,20.7,28.375,,20.8,,,,,
rafael nadal,,13,12.9,18.025,13.875,7.333333333,13.94,14.1,20.36666667,14.16,14.2,8.75,,11.725,16.7,,15,,,,
roger federer,,17.98,22.225,19.76666667,18.01111111,13.2875,22.23333333,18.23888889,19.8625,17.18,13.05,13.1,11.425,17.56,25.5,12.33333333,,,,,
serena williams,33.3,,25.06,23.44,27.4875,36.25454545,27.98888889,26.5875,26.97272727,24.33333333,25.83333333,18.1,27.16666667,12.8,18.2,26.56666667,18.05,,,,17.9
venus williams,18,33.7,,32.025,24.68888889,25.2,16.3,19.27272727,15.46666667,24.16666667,34.93333333,27.175,26.46,22.25,35.6,34.6,29.6,,,,27.5
